Environment,Policy,Algorithm,Cumulative Return,Max Return,R^2,M,C,Slope
Acrobot-v1,Advantage Actor-Critic,LAMP,-99599.8 $\pm$ 233.48695895060177,-61.0,0.424607225842203,0.004188774209224579,-502.11180824782,$y = 0.004188774209224579x - 502.11180824782$
Acrobot-v1,Advantage Actor-Critic,SAM,-99409.2 $\pm$ 163.6,-60.0,0.5499890997621348,0.004127001918147485,-433.72211190888714,$y = 0.004127001918147485x - 433.72211190888714$
Acrobot-v1,Advantage Actor-Critic,Vanilla,-99416.4 $\pm$ 272.0291160887011,-58.0,0.4626103069835694,0.004122353913359106,-437.8568753395339,$y = 0.004122353913359106x - 437.8568753395339$
Acrobot-v1,Proximal Policy Optimisation,LAMP,-99504.8 $\pm$ 456.4184045368898,-59.0,0.09229324721474663,0.0018580937789748784,-278.5476844264547,$y = 0.0018580937789748784x - 278.5476844264547$
Acrobot-v1,Proximal Policy Optimisation,SAM,-99002.0 $\pm$ 88.72654619672738,-60.0,0.09426658534676213,0.0007971502241846362,-145.31844925509404,$y = 0.0007971502241846362x - 145.31844925509404$
Acrobot-v1,Proximal Policy Optimisation,Vanilla,-98993.8 $\pm$ 103.18216900220698,-60.0,0.10964073072301972,0.0009137181816297498,-151.6031069519329,$y = 0.0009137181816297498x - 151.6031069519329$
Acrobot-v1,REINFORCE,LAMP,-99799.8 $\pm$ 230.41388847029168,-61.0,0.19038215322458263,0.002758817415690752,-512.6307114624487,$y = 0.002758817415690752x - 512.6307114624487$
Acrobot-v1,REINFORCE,SAM,-99555.6 $\pm$ 360.075880891792,-61.0,0.26921521674744187,0.0033154242744115113,-397.20267041622697,$y = 0.0033154242744115113x - 397.20267041622697$
Acrobot-v1,REINFORCE,Vanilla,-99656.4 $\pm$ 349.18109914484205,-61.0,0.24058506234384847,0.0032899151925766873,-430.5421069889487,$y = 0.0032899151925766873x - 430.5421069889487$
Breakout-MinAtar-v1,Advantage Actor-Critic,LAMP,6522.8 $\pm$ 239.15133284178035,7.0,0.33696933769102444,2.5279708031613797e-05,0.2511941565838717,$y = 2.5279708031613797e-05x + 0.2511941565838717$
Breakout-MinAtar-v1,Advantage Actor-Critic,SAM,6814.6 $\pm$ 47.21271015309331,7.0,0.3052301111510194,3.0222752902042005e-05,0.37244581967966095,$y = 3.0222752902042005e-05x + 0.37244581967966095$
Breakout-MinAtar-v1,Advantage Actor-Critic,Vanilla,6825.8 $\pm$ 55.06142025048028,7.0,0.29671658500950326,3.00648054177554e-05,0.3842930137329268,$y = 3.00648054177554e-05x + 0.3842930137329268$
Breakout-MinAtar-v1,Proximal Policy Optimisation,LAMP,7616.2 $\pm$ 47.93495592988482,12.0,0.1374023137838517,2.3935506953649233e-05,1.4315223350619748,$y = 2.3935506953649233e-05x + 1.4315223350619748$
Breakout-MinAtar-v1,Proximal Policy Optimisation,SAM,7606.6 $\pm$ 33.70815924965349,16.0,0.11677220573057778,2.21457426716261e-05,1.4707776925492746,$y = 2.21457426716261e-05x + 1.4707776925492746$
Breakout-MinAtar-v1,Proximal Policy Optimisation,Vanilla,7632.2 $\pm$ 51.370808831475486,9.0,0.10851412307752328,2.129519866848251e-05,1.5473670902486005,$y = 2.129519866848251e-05x + 1.5473670902486005$
Breakout-MinAtar-v1,REINFORCE,LAMP,7180.6 $\pm$ 135.7123428432359,7.0,0.2784489363213677,3.07146983692674e-05,0.657880786635433,$y = 3.07146983692674e-05x + 0.657880786635433$
Breakout-MinAtar-v1,REINFORCE,SAM,7227.0 $\pm$ 265.9849619809361,8.0,0.10956099595790658,1.8860683030029077e-05,1.0780578172171156,$y = 1.8860683030029077e-05x + 1.0780578172171156$
Breakout-MinAtar-v1,REINFORCE,Vanilla,7357.2 $\pm$ 106.48079639071075,8.0,0.25262520192693616,3.0139261784472637e-05,0.8659668653579216,$y = 3.0139261784472637e-05x + 0.8659668653579216$
CartPole-v1,Advantage Actor-Critic,LAMP,99677.4 $\pm$ 146.58458309112865,500.0,0.5330564599402029,0.004057022922656117,29.682373356824172,$y = 0.004057022922656117x + 29.682373356824172$
CartPole-v1,Advantage Actor-Critic,SAM,99753.2 $\pm$ 97.16254422358443,500.0,0.3227288403182742,0.002734975674763342,38.21979972952607,$y = 0.002734975674763342x + 38.21979972952607$
CartPole-v1,Advantage Actor-Critic,Vanilla,99877.8 $\pm$ 113.95332377776438,500.0,0.20634423908614585,0.0020769207455225177,60.045451032130984,$y = 0.0020769207455225177x + 60.045451032130984$
CartPole-v1,Proximal Policy Optimisation,LAMP,99718.8 $\pm$ 119.77378678158254,500.0,0.6344820540843505,0.005067700005037632,147.46933788576325,$y = 0.005067700005037632x + 147.46933788576325$
CartPole-v1,Proximal Policy Optimisation,SAM,99775.6 $\pm$ 154.54526844908582,500.0,0.6108491573992415,0.005112970445551854,141.50549232786906,$y = 0.005112970445551854x + 141.50549232786906$
CartPole-v1,Proximal Policy Optimisation,Vanilla,99657.8 $\pm$ 87.06181711864278,500.0,0.5594843997373576,0.0048240627128914556,149.85514559067107,$y = 0.0048240627128914556x + 149.85514559067107$
CartPole-v1,REINFORCE,LAMP,99841.4 $\pm$ 81.02246602023418,500.0,0.5630434096609587,0.004863480812727133,158.7283497445203,$y = 0.004863480812727133x + 158.7283497445203$
CartPole-v1,REINFORCE,SAM,99824.4 $\pm$ 157.58883209161746,500.0,0.04290464012485973,0.0011914433686437016,195.6571081053268,$y = 0.0011914433686437016x + 195.6571081053268$
CartPole-v1,REINFORCE,Vanilla,99751.2 $\pm$ 113.97964730599934,500.0,0.44289990416962577,0.004061262476102306,166.89572290057293,$y = 0.004061262476102306x + 166.89572290057293$
Catcher-PLE-v0,Advantage Actor-Critic,LAMP,456.2 $\pm$ 463.90231730397727,139.0,0.46787693296693833,0.0008404266160257319,-18.838039783026623,$y = 0.0008404266160257319x - 18.838039783026623$
Catcher-PLE-v0,Advantage Actor-Critic,SAM,982.0 $\pm$ 323.5496870652172,140.0,0.5647984688548547,0.0012054354635503738,-20.554911433213118,$y = 0.0012054354635503738x - 20.554911433213118$
Catcher-PLE-v0,Advantage Actor-Critic,Vanilla,1078.2 $\pm$ 223.09226790724955,141.0,0.626995897227526,0.0012713097005639864,-19.91690424572917,$y = 0.0012713097005639864x - 19.91690424572917$
Catcher-PLE-v0,Proximal Policy Optimisation,LAMP,1318.0 $\pm$ 513.8260406012914,142.0,0.30128524021867464,0.0006434609381701096,-8.002901878940015,$y = 0.0006434609381701096x - 8.002901878940015$
Catcher-PLE-v0,Proximal Policy Optimisation,SAM,1588.8 $\pm$ 84.00809484805616,138.0,0.153971382840988,0.0004697141092093884,-0.7322897170204872,$y = 0.0004697141092093884x - 0.7322897170204872$
Catcher-PLE-v0,Proximal Policy Optimisation,Vanilla,1623.8 $\pm$ 246.08567613739734,141.0,0.3254406867023,0.0007937748264249102,-7.284832732098494,$y = 0.0007937748264249102x - 7.284832732098494$
Catcher-PLE-v0,REINFORCE,LAMP,-1291.4 $\pm$ 425.74527595734986,32.0,0.3155102129116245,9.850373441513621e-05,-7.602998152839337,$y = 9.850373441513621e-05x - 7.602998152839337$
Catcher-PLE-v0,REINFORCE,SAM,-203.2 $\pm$ 133.565564424368,135.0,0.39892449661229545,0.0003163185692231504,-10.863680800686549,$y = 0.0003163185692231504x - 10.863680800686549$
Catcher-PLE-v0,REINFORCE,Vanilla,-615.6 $\pm$ 453.24368721472564,63.0,0.30441354319519887,0.00016225167459882933,-8.110900863264016,$y = 0.00016225167459882933x - 8.110900863264016$
Pixelcopter-PLE-v0,Advantage Actor-Critic,LAMP,6905.8 $\pm$ 1539.2548067165487,163.0,0.3854598766203631,0.0003422043730944619,-4.2224250948541036,$y = 0.0003422043730944619x - 4.2224250948541036$
Pixelcopter-PLE-v0,Advantage Actor-Critic,SAM,5635.4 $\pm$ 2561.6730158238383,164.0,0.3734454017778851,0.0003326356538257008,-5.467327227551054,$y = 0.0003326356538257008x - 5.467327227551054$
Pixelcopter-PLE-v0,Advantage Actor-Critic,Vanilla,6006.6 $\pm$ 1802.045681995881,180.0,0.3821218620377188,0.0003458986184877816,-5.338469747306039,$y = 0.0003458986184877816x - 5.338469747306039$
Pixelcopter-PLE-v0,Proximal Policy Optimisation,LAMP,11848.8 $\pm$ 288.8414097735988,163.0,0.06938132949697573,0.0001586210896282051,7.47658335069642,$y = 0.0001586210896282051x + 7.47658335069642$
Pixelcopter-PLE-v0,Proximal Policy Optimisation,SAM,11911.4 $\pm$ 686.3645095719913,199.0,0.14188487422322615,0.0002670348872014871,4.317773960196435,$y = 0.0002670348872014871x + 4.317773960196435$
Pixelcopter-PLE-v0,Proximal Policy Optimisation,Vanilla,11418.6 $\pm$ 597.9232726696629,213.0,0.15383057115186116,0.00024378816417430302,3.7066705290678694,$y = 0.00024378816417430302x + 3.7066705290678694$
Pixelcopter-PLE-v0,REINFORCE,LAMP,10833.2 $\pm$ 681.1068638620521,178.0,0.22274216191878982,0.0002737493044272231,1.5023361513623765,$y = 0.0002737493044272231x + 1.5023361513623765$
Pixelcopter-PLE-v0,REINFORCE,SAM,5908.0 $\pm$ 9468.73176301874,200.0,0.02584750856121454,7.121843176425447e-05,0.2562705469814608,$y = 7.121843176425447e-05x + 0.2562705469814608$
Pixelcopter-PLE-v0,REINFORCE,Vanilla,835.8 $\pm$ 11270.747772885346,151.0,0.010151733503096172,3.359254309103515e-05,-1.1963358701992413,$y = 3.359254309103515e-05x - 1.1963358701992413$
SpaceInvaders-MinAtar-v1,Advantage Actor-Critic,LAMP,9430.0 $\pm$ 475.8835992130849,23.0,0.045965722992791114,2.981091937841013e-05,4.802641348749871,$y = 2.981091937841013e-05x + 4.802641348749871$
SpaceInvaders-MinAtar-v1,Advantage Actor-Critic,SAM,9447.6 $\pm$ 550.1049354441386,31.0,0.0246355214817785,2.1736406055931046e-05,5.299283919875842,$y = 2.1736406055931046e-05x + 5.299283919875842$
SpaceInvaders-MinAtar-v1,Advantage Actor-Critic,Vanilla,9357.4 $\pm$ 648.7377282076325,23.0,0.03329031893122836,2.540092114830944e-05,5.050811159917299,$y = 2.540092114830944e-05x + 5.050811159917299$
SpaceInvaders-MinAtar-v1,Proximal Policy Optimisation,LAMP,10656.2 $\pm$ 718.6967093287683,47.0,0.11088347819628341,5.659548237531282e-05,4.839427317668825,$y = 5.659548237531282e-05x + 4.839427317668825$
SpaceInvaders-MinAtar-v1,Proximal Policy Optimisation,SAM,11406.0 $\pm$ 417.668289435528,54.0,0.08345771824482129,5.1922831187258177e-05,5.16539996119735,$y = 5.1922831187258177e-05x + 5.16539996119735$
SpaceInvaders-MinAtar-v1,Proximal Policy Optimisation,Vanilla,11202.6 $\pm$ 808.7589504914305,65.0,0.11288245644437389,6.153667203161235e-05,4.855928188594382,$y = 6.153667203161235e-05x + 4.855928188594382$
SpaceInvaders-MinAtar-v1,REINFORCE,LAMP,9416.8 $\pm$ 92.68743172620547,23.0,0.08089126984519035,3.720897681460579e-05,5.209448056160035,$y = 3.720897681460579e-05x + 5.209448056160035$
SpaceInvaders-MinAtar-v1,REINFORCE,SAM,9153.8 $\pm$ 339.20518863956073,28.0,0.06606536774192906,3.425495633920365e-05,5.4394964080037225,$y = 3.425495633920365e-05x + 5.4394964080037225$
SpaceInvaders-MinAtar-v1,REINFORCE,Vanilla,9765.2 $\pm$ 1118.6179687453623,35.0,0.05952387474032739,3.360996921094115e-05,5.523805401386289,$y = 3.360996921094115e-05x + 5.523805401386289$
